      Step     Time          Energy          fmax
BFGS:    0 15:42:45     -177.501253        8.837011
BFGS:    1 15:53:59     -178.103096        1.616511
BFGS:    2 16:00:59     -178.232731        1.163015
BFGS:    3 16:11:39     -178.658505        3.460877
BFGS:    4 16:18:01     -178.826777        1.044108
BFGS:    5 16:24:36     -178.887823        0.993175
BFGS:    6 16:30:43     -178.912341        0.732656
BFGS:    7 16:36:40     -178.921075        0.918500
BFGS:    8 16:41:33     -178.928249        0.587922
BFGS:    9 16:47:33     -178.928811        0.620987
BFGS:   10 16:52:45     -178.916969        0.665882
BFGS:   11 16:59:05     -178.899859        0.934067
BFGS:   12 17:03:57     -178.903216        0.534549
BFGS:   13 17:10:16     -178.907448        0.619878
BFGS:   14 17:15:52     -178.912654        0.596602
BFGS:   15 17:21:57     -178.911086        0.706650
BFGS:   16 17:27:14     -178.916723        0.628018
BFGS:   17 17:32:51     -178.923013        0.481993
BFGS:   18 17:37:54     -178.924778        0.534460
BFGS:   19 17:43:11     -178.925607        0.667759
BFGS:   20 17:49:53     -178.941763        0.636284
BFGS:   21 17:56:20     -178.974307        0.301446
BFGS:   22 18:01:10     -178.978730        0.312918
BFGS:   23 18:07:41     -178.977399        0.514807
BFGS:   24 18:12:57     -178.994931        0.482445
BFGS:   25 18:21:23     -179.079631        0.841963
BFGS:   26 18:27:32     -179.059541        0.383396
BFGS:   27 18:33:29     -179.075013        0.200060
BFGS:   28 18:40:24     -179.142573        0.405486
BFGS:   29 18:46:46     -179.220330        0.685917
BFGS:   30 18:53:01     -179.254825        0.551926
BFGS:   31 18:59:43     -179.335248        0.393501
BFGS:   32 19:03:58     -179.364781        0.419712
BFGS:   33 19:10:57     -179.442915        0.678406
BFGS:   34 19:15:48     -179.474827        0.550138
BFGS:   35 19:22:01     -179.492252        0.460221
BFGS:   36 19:30:07     -179.496066        0.444399
BFGS:   37 19:34:54     -179.492997        0.559863
BFGS:   38 19:39:51     -179.505772        0.320358
BFGS:   39 19:46:48     -179.505235        0.603216
BFGS:   40 19:51:12     -179.523115        0.437544
BFGS:   41 19:56:16     -179.539162        0.326310
BFGS:   42 20:01:21     -179.545203        0.289118
BFGS:   43 20:06:24     -179.553215        0.465530
BFGS:   44 20:10:49     -179.554001        0.464950
BFGS:   45 20:14:58     -179.559925        0.297999
BFGS:   46 20:19:53     -179.579714        0.347537
BFGS:   47 20:24:06     -179.579628        0.306324
BFGS:   48 20:29:05     -179.582097        0.203004
BFGS:   49 20:32:18     -179.592305        0.176051
BFGS:   50 20:38:02     -179.605129        0.175652
BFGS:   51 20:40:47     -179.603394        0.158571
BFGS:   52 20:45:46     -179.598784        0.278146
BFGS:   53 20:49:19     -179.602562        0.238013
BFGS:   54 20:53:16     -179.611878        0.143105
BFGS:   55 20:58:14     -179.620164        0.167820
BFGS:   56 21:02:49     -179.626714        0.208673
BFGS:   57 21:05:55     -179.628499        0.182424
BFGS:   58 21:10:20     -179.624868        0.159789
BFGS:   59 21:13:55     -179.622719        0.134904
BFGS:   60 21:18:28     -179.621525        0.217506
BFGS:   61 21:21:24     -179.623765        0.178051
BFGS:   62 21:26:19     -179.631192        0.225628
BFGS:   63 21:30:38     -179.629410        0.199115
BFGS:   64 21:35:10     -179.624891        0.123173
BFGS:   65 21:38:37     -179.621304        0.116606
BFGS:   66 21:44:32     -179.596721        0.258011
BFGS:   67 21:49:39     -179.612656        0.153008
BFGS:   68 21:53:37     -179.617214        0.101710
BFGS:   69 21:56:33     -179.618861        0.090404
